Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,32.35,32.43,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,32.33,32.43,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.83,32.33,32.43,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,32.33,32.43,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,32.33,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,32.35,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.84,32.37,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.84,32.38,32.51,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.85,32.38,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,32.38,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,32.38,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,32.38,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,32.39,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.85,32.41,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.86,32.42,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,32.43,32.47,36.00,20.00,AUTO,0,100,NaN,365.00,0.00,0.00,365.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.86,32.44,32.44,36.00,20.00,AUTO,0,100,NaN,357.50,0.00,-2.14,355.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.86,32.46,32.44,36.00,20.00,AUTO,0,100,NaN,357.50,0.00,-2.14,355.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.86,32.48,32.44,36.00,20.00,AUTO,0,100,NaN,357.50,0.00,-2.14,355.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.86,32.50,32.41,36.00,20.00,AUTO,0,100,NaN,357.50,0.00,-2.14,355.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.86,32.53,32.41,36.00,20.00,AUTO,0,100,NaN,357.50,0.00,-2.14,355.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.87,32.56,32.41,36.00,20.00,AUTO,0,100,NaN,357.50,0.00,-2.14,355.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.87,32.58,32.37,36.00,20.00,AUTO,0,100,NaN,357.50,0.00,-2.14,355.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
