Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,32.93,33.60,36.00,20.00,AUTO,5,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
1.00,32.92,33.64,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
2.00,32.92,33.64,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
3.01,32.91,33.69,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
4.01,32.90,33.69,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
5.01,32.90,33.69,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
6.01,32.89,33.73,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
7.02,32.88,33.73,36.00,20.00,AUTO,9,0,0,155.25,16.22,-4186.36,-4014.89,NaN,NaN,NaN,NaN
8.02,32.87,33.76,36.00,20.00,AUTO,9,0,0,155.25,16.22,-4186.36,-4014.89,NaN,NaN,NaN,NaN
9.02,32.87,33.76,36.00,20.00,AUTO,9,0,0,155.25,16.22,-4186.36,-4014.89,NaN,NaN,NaN,NaN
10.02,32.86,33.76,36.00,20.00,AUTO,9,0,0,155.25,16.22,-4186.36,-4014.89,NaN,NaN,NaN,NaN
11.02,32.85,33.76,36.00,20.00,AUTO,9,0,0,155.25,16.22,-4186.36,-4014.89,NaN,NaN,NaN,NaN
12.02,32.84,33.80,36.00,20.00,AUTO,9,0,0,155.25,16.22,-4186.36,-4014.89,NaN,NaN,NaN,NaN
13.02,32.84,33.80,36.00,20.00,AUTO,9,0,0,155.25,16.22,-4186.36,-4014.89,NaN,NaN,NaN,NaN
14.02,32.83,33.80,36.00,20.00,AUTO,9,0,0,155.25,16.22,-4186.36,-4014.89,NaN,NaN,NaN,NaN
15.03,32.81,33.80,36.00,20.00,AUTO,9,100,0,158.25,16.22,7.58,182.05,NaN,NaN,NaN,NaN
16.03,32.79,33.85,36.00,20.00,AUTO,9,100,0,158.25,16.22,7.58,182.05,NaN,NaN,NaN,NaN
17.03,32.78,33.85,36.00,20.00,AUTO,9,100,0,158.25,16.22,7.58,182.05,NaN,NaN,NaN,NaN
18.03,32.77,33.86,36.00,20.00,AUTO,9,100,0,158.25,16.22,7.58,182.05,NaN,NaN,NaN,NaN
19.03,32.76,33.91,36.00,20.00,AUTO,9,100,0,158.25,16.22,7.58,182.05,NaN,NaN,NaN,NaN
20.03,32.75,33.95,36.00,20.00,AUTO,9,100,0,158.25,16.22,7.58,182.05,NaN,NaN,NaN,NaN
21.04,32.74,33.99,36.00,20.00,AUTO,9,100,0,158.25,16.22,7.58,182.05,NaN,NaN,NaN,NaN
22.04,32.74,33.99,36.00,20.00,AUTO,9,100,0,158.25,16.22,7.58,182.05,NaN,NaN,NaN,NaN
23.04,32.73,33.99,36.00,20.00,AUTO,9,100,0,163.00,16.22,11.70,190.92,NaN,NaN,NaN,NaN
24.04,32.73,33.95,36.00,20.00,AUTO,9,100,0,163.00,16.22,11.70,190.92,NaN,NaN,NaN,NaN
25.04,32.74,33.95,36.00,20.00,AUTO,9,100,0,163.00,16.22,11.70,190.92,NaN,NaN,NaN,NaN
26.04,32.73,33.95,36.00,20.00,AUTO,9,100,0,163.00,16.22,11.70,190.92,NaN,NaN,NaN,NaN
27.04,32.73,33.91,36.00,20.00,AUTO,9,100,0,163.00,16.22,11.70,190.92,NaN,NaN,NaN,NaN
28.05,32.73,33.91,36.00,20.00,AUTO,9,100,0,163.00,16.22,11.70,190.92,NaN,NaN,NaN,NaN
29.05,32.73,33.95,36.00,20.00,AUTO,9,100,0,163.00,16.22,11.70,190.92,NaN,NaN,NaN,NaN
30.05,32.73,33.95,36.00,20.00,AUTO,9,100,0,163.00,16.22,11.70,190.92,NaN,NaN,NaN,NaN
31.05,32.73,33.91,36.00,20.00,AUTO,9,100,0,163.50,16.22,1.03,180.75,NaN,NaN,NaN,NaN
32.05,32.74,33.95,36.00,20.00,AUTO,9,100,0,163.50,16.22,1.03,180.75,NaN,NaN,NaN,NaN
33.05,32.74,33.95,36.00,20.00,AUTO,9,100,0,163.50,16.22,1.03,180.75,NaN,NaN,NaN,NaN
