Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,33.07,32.41,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,33.05,32.41,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,33.06,32.41,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,33.07,32.37,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,33.09,32.35,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,33.11,32.35,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.84,33.12,32.35,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.85,33.13,32.31,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.85,33.14,32.27,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,33.16,32.27,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,33.17,32.22,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,33.20,32.19,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,33.22,32.19,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.85,33.25,32.15,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.85,33.28,32.12,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,33.29,32.09,36.00,20.00,AUTO,0,100,NaN,205.10,0.00,0.00,205.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.86,33.31,32.04,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.86,33.33,32.04,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.86,33.33,32.04,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.86,33.36,32.00,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.86,33.37,32.00,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.86,33.40,31.96,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.87,33.41,31.96,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.87,33.44,31.94,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.87,33.47,31.90,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.87,33.49,31.86,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.87,33.50,31.86,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.88,33.53,31.82,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.88,33.57,31.78,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.88,33.59,31.73,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.88,33.61,31.71,36.00,20.00,AUTO,0,100,NaN,190.05,0.00,-6.05,184.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.88,33.63,31.67,36.00,20.00,AUTO,0,100,NaN,168.00,0.00,-10.44,157.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.88,33.64,31.67,36.00,20.00,AUTO,0,100,NaN,168.00,0.00,-10.44,157.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.89,33.66,31.64,36.00,20.00,AUTO,0,100,NaN,168.00,0.00,-10.44,157.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.89,33.68,31.59,36.00,20.00,AUTO,0,100,NaN,168.00,0.00,-10.44,157.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.89,33.71,31.59,36.00,20.00,AUTO,0,100,NaN,168.00,0.00,-10.44,157.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.89,33.74,31.55,36.00,20.00,AUTO,0,100,NaN,168.00,0.00,-10.44,157.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.89,33.76,31.53,36.00,20.00,AUTO,0,100,NaN,168.00,0.00,-10.44,157.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
