Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,28.10,45.49,36.00,20.00,AUTO,10,6320,0,79.03,0.00,0.00,79.03,0.00,0.00,0.00,0.00
0.84,28.08,45.39,36.00,20.00,AUTO,18,6320,0,79.24,0.00,0.00,79.24,0.00,0.00,0.00,0.00
1.84,28.08,45.26,36.00,20.00,AUTO,18,6320,0,79.24,0.00,0.00,79.24,0.00,0.00,0.00,0.00
2.85,28.08,45.16,36.00,20.00,AUTO,18,6320,0,79.24,0.00,0.00,79.24,0.00,0.00,0.00,0.00
3.85,28.10,45.09,36.00,20.00,AUTO,18,6320,0,79.03,0.00,0.00,79.03,0.00,0.00,0.00,0.00
4.85,28.08,45.03,36.00,20.00,AUTO,18,6320,0,79.24,0.00,0.00,79.24,0.00,0.00,0.00,0.00
5.85,28.08,44.99,36.00,20.00,AUTO,18,6320,0,79.24,0.00,0.00,79.24,0.00,0.00,0.00,0.00
6.85,28.08,44.99,36.00,20.00,AUTO,18,6320,0,79.24,0.00,0.00,79.24,0.00,0.00,0.00,0.00
7.86,28.08,44.96,36.00,20.00,AUTO,18,6320,0,79.24,0.00,0.00,79.24,0.00,0.00,0.00,0.00
8.86,28.09,44.96,36.00,20.00,AUTO,18,6320,0,79.14,0.00,0.00,79.14,0.00,0.00,0.00,0.00
9.86,28.08,44.96,36.00,20.00,AUTO,18,6320,0,79.24,0.00,0.00,79.24,0.00,0.00,0.00,0.00
10.86,28.09,44.96,36.00,20.00,AUTO,18,6320,0,79.14,0.00,0.00,79.14,0.00,0.00,0.00,0.00
11.86,28.11,44.96,36.00,20.00,AUTO,18,6240,0,78.92,0.00,0.00,78.92,0.00,0.00,0.00,0.00
12.86,28.10,44.96,36.00,20.00,AUTO,18,6320,0,79.03,0.00,0.00,79.03,0.00,0.00,0.00,0.00
