Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,32.64,36.98,36.00,20.00,AUTO,5,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,32.63,36.98,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,32.63,36.98,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,32.63,36.98,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,32.63,36.98,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.01,32.63,36.98,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.01,32.63,36.98,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.01,32.63,36.98,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.01,32.64,36.98,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.01,32.64,36.95,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.02,32.66,36.95,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.01,32.66,36.91,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.02,32.66,36.88,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.02,32.67,36.88,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.02,32.68,36.85,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.02,32.69,36.85,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.02,32.70,36.81,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.02,32.71,36.78,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.03,32.73,36.78,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.03,32.74,36.78,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.03,32.75,36.74,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.03,32.77,36.74,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.03,32.78,36.71,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23.04,32.79,36.72,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24.04,32.81,36.69,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25.04,32.82,36.69,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26.04,32.84,36.66,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27.04,32.85,36.66,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.04,32.87,36.63,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29.04,32.89,36.63,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30.04,32.91,36.56,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.05,32.93,36.53,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.05,32.94,36.51,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.05,32.99,36.51,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34.05,33.02,36.47,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35.05,33.05,36.44,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36.05,33.06,36.40,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37.06,33.09,36.37,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.06,33.12,36.34,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.06,33.15,36.33,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40.06,33.17,36.29,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41.06,33.21,36.26,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.07,33.23,36.22,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43.07,33.28,36.21,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44.07,33.30,36.18,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.07,33.30,36.14,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.07,33.32,36.11,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47.07,33.35,36.07,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.08,33.40,36.04,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49.08,33.44,36.01,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50.08,33.47,35.99,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51.08,33.50,35.92,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52.08,33.51,35.85,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
