Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,32.46,33.24,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,32.45,33.24,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,32.45,33.24,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,32.46,33.24,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,32.47,33.24,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,32.49,33.24,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.85,32.50,33.24,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.84,32.53,33.24,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.85,32.54,33.20,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,32.56,33.20,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,32.58,33.16,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,32.58,33.18,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,32.59,33.14,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.85,32.60,33.10,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.86,32.63,33.10,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,32.66,33.06,36.00,20.00,AUTO,0,100,NaN,177.00,0.00,0.00,177.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.86,32.68,33.02,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.86,32.70,33.02,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.86,32.73,32.98,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.87,32.75,32.96,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.86,32.77,32.92,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.87,32.79,32.88,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.87,32.84,32.88,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.87,32.85,32.83,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.87,32.87,32.80,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.87,32.89,32.76,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.87,32.92,32.72,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.88,32.94,32.70,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.88,32.97,32.70,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.88,33.00,32.61,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.88,33.03,32.61,36.00,20.00,AUTO,0,100,NaN,167.75,0.00,-10.77,156.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.88,33.04,32.57,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.89,33.06,32.53,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.89,33.08,32.47,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.89,33.13,32.47,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.89,33.17,32.43,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.89,33.19,32.39,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.89,33.21,32.35,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.89,33.23,32.31,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.89,33.28,32.28,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.90,33.30,32.25,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.90,33.32,32.21,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.90,33.35,32.16,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.90,33.37,32.12,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.90,33.41,32.09,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.91,33.42,32.06,36.00,20.00,AUTO,0,100,NaN,149.25,0.00,-24.01,125.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.91,33.46,32.06,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.91,33.50,32.02,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.91,33.52,31.98,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.91,33.57,31.90,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.91,33.58,31.86,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.92,33.61,31.83,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.92,33.63,31.80,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.92,33.66,31.75,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.92,33.70,31.71,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.92,33.73,31.67,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.93,33.75,31.64,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.92,33.77,31.61,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.93,33.78,31.61,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.93,33.81,31.57,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.93,33.85,31.53,36.00,20.00,AUTO,0,100,NaN,129.25,0.00,-27.16,102.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.93,33.88,31.49,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.93,33.94,31.45,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.93,33.95,31.38,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.94,34.00,31.35,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.94,34.03,31.31,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.94,34.05,31.26,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66.94,34.06,31.22,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.94,34.07,31.19,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.94,34.09,31.19,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.94,34.11,31.16,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70.94,34.16,31.12,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71.95,34.18,31.08,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72.95,34.20,31.04,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73.95,34.23,31.04,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74.95,34.27,30.96,36.00,20.00,AUTO,0,96,NaN,108.50,15.08,-27.89,95.70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75.96,34.27,30.92,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76.96,34.31,30.90,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77.96,34.33,30.90,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78.96,34.35,30.85,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.96,34.38,30.85,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80.96,34.40,30.85,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81.96,34.44,30.83,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82.97,34.46,30.79,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83.97,34.50,30.75,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84.97,34.51,30.71,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.97,34.52,30.67,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86.97,34.55,30.63,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87.97,34.59,30.59,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88.97,34.61,30.54,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89.98,34.65,30.52,36.00,20.00,AUTO,0,88,NaN,87.50,27.46,-27.17,87.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90.98,34.66,30.48,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91.98,34.69,30.48,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92.98,34.71,30.45,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93.98,34.73,30.45,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94.98,34.75,30.41,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95.99,34.77,30.36,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96.99,34.80,30.38,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.99,34.82,30.30,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98.99,34.85,30.30,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99.99,34.86,30.25,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100.99,34.89,30.22,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101.99,34.93,30.18,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102.99,34.95,30.14,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104.00,34.99,30.11,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105.00,35.01,30.07,36.00,20.00,AUTO,0,80,NaN,68.50,37.41,-25.42,80.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106.00,35.01,30.07,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107.00,35.03,30.03,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108.00,35.05,30.03,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109.01,35.07,30.03,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110.01,35.09,30.00,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111.01,35.10,29.95,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112.01,35.13,29.96,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113.01,35.15,29.93,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114.01,35.18,29.89,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115.02,35.19,29.85,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116.02,35.21,29.85,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117.02,35.25,29.80,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118.02,35.27,29.77,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119.02,35.29,29.77,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120.03,35.33,29.74,36.00,20.00,AUTO,0,70,NaN,50.00,44.97,-24.58,70.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121.03,35.33,29.71,36.00,20.00,AUTO,0,64,NaN,34.50,50.41,-21.22,63.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
