Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,30.22,33.46,36.00,20.00,AUTO,5,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
1.01,30.22,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
2.00,30.23,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
3.00,30.23,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
4.00,30.24,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
5.00,30.24,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
6.01,30.25,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
7.01,30.25,33.42,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
8.01,30.25,33.42,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
9.01,30.25,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
10.01,30.26,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
11.01,30.26,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
12.02,30.27,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
13.02,30.27,33.46,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
14.02,30.26,33.46,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
15.02,30.26,33.46,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
16.02,30.27,33.46,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
17.03,30.28,33.46,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
18.02,30.28,33.42,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
19.03,30.30,33.42,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
20.03,30.30,33.42,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
21.03,30.31,33.38,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
22.03,30.32,33.38,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
23.03,30.33,33.38,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
24.03,30.34,33.34,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
25.04,30.36,33.36,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
26.04,30.37,33.36,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
27.04,30.38,33.31,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
28.04,30.39,33.31,36.00,20.00,AUTO,1,100,0,286.50,0.00,-1.47,285.03,NaN,NaN,NaN,NaN
29.05,30.40,33.31,36.00,20.00,AUTO,1,100,0,280.75,0.00,-3.62,277.13,NaN,NaN,NaN,NaN
30.05,30.41,33.28,36.00,20.00,AUTO,1,100,0,280.75,0.00,-3.62,277.13,NaN,NaN,NaN,NaN
31.05,30.44,33.28,36.00,20.00,AUTO,1,100,0,280.75,0.00,-3.62,277.13,NaN,NaN,NaN,NaN
32.05,30.45,33.28,36.00,20.00,AUTO,1,100,0,280.75,0.00,-3.62,277.13,NaN,NaN,NaN,NaN
33.05,30.47,33.24,36.00,20.00,AUTO,1,100,0,280.75,0.00,-3.62,277.13,NaN,NaN,NaN,NaN
34.05,30.49,33.24,36.00,20.00,AUTO,1,100,0,280.75,0.00,-3.62,277.13,NaN,NaN,NaN,NaN
35.05,30.55,33.20,36.00,20.00,AUTO,1,100,0,280.75,0.00,-3.62,277.13,NaN,NaN,NaN,NaN
