Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,30.41,31.88,36.00,20.00,AUTO,5,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
1.00,30.42,31.92,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
2.00,30.41,31.92,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
3.01,30.41,31.92,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
4.01,30.41,31.92,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
5.01,30.40,31.92,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
6.01,30.40,31.96,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
7.01,30.40,31.96,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
8.01,30.40,31.96,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
9.01,30.40,31.96,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
10.01,30.40,32.00,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
11.02,30.40,31.96,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
12.02,30.40,31.96,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
13.02,30.40,31.96,36.00,20.00,AUTO,1,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
14.02,30.39,31.96,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
15.02,30.38,31.96,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
16.03,30.39,32.00,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
17.03,30.40,32.00,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
18.03,30.40,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
19.03,30.41,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
20.03,30.42,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
21.03,30.42,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
22.04,30.44,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
23.04,30.45,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
24.04,30.47,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
25.04,30.48,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
26.04,30.53,32.08,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
27.04,30.55,32.00,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
28.04,30.55,32.00,36.00,20.00,AUTO,1,100,0,280.00,0.00,0.23,280.23,NaN,NaN,NaN,NaN
29.05,30.55,32.02,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
30.05,30.56,31.98,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
31.05,30.56,31.94,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
32.05,30.60,31.94,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
33.05,30.64,31.90,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
34.05,30.68,31.86,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
35.06,30.72,31.82,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
36.06,30.77,31.80,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
37.06,30.79,31.76,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
38.06,30.82,31.71,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
39.06,30.85,31.71,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
40.06,30.90,31.69,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
41.06,30.92,31.65,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
42.07,30.95,31.57,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
43.07,31.00,31.57,36.00,20.00,AUTO,1,100,0,272.50,0.00,-2.33,270.17,NaN,NaN,NaN,NaN
44.07,31.05,31.49,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
45.07,31.08,31.47,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
46.07,31.11,31.43,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
47.07,31.14,31.39,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
48.08,31.19,31.35,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
49.08,31.23,31.28,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
50.08,31.27,31.25,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
51.08,31.31,31.21,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
52.08,31.36,31.12,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
53.08,31.40,31.09,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
54.08,31.44,31.06,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
55.09,31.48,30.98,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
56.09,31.52,30.94,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
57.09,31.56,30.90,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
58.09,31.60,30.88,36.00,20.00,AUTO,1,100,0,251.25,0.00,-8.40,242.85,NaN,NaN,NaN,NaN
59.09,31.65,30.84,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
60.09,31.67,30.76,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
61.10,31.71,30.72,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
62.10,31.75,30.68,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
63.10,31.79,30.66,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
64.10,31.83,30.61,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
65.10,31.87,30.54,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
66.10,31.92,30.51,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
67.11,31.94,30.47,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
68.11,31.98,30.43,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
69.11,32.03,30.39,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
70.11,32.08,30.27,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
71.11,32.12,30.25,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
72.11,32.16,30.21,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
73.11,32.22,30.13,36.00,20.00,AUTO,1,100,0,221.00,0.00,-11.90,209.10,NaN,NaN,NaN,NaN
74.12,32.26,30.10,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
75.12,32.31,30.06,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
76.12,32.37,29.98,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
77.12,32.41,29.94,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
78.12,32.45,29.88,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
79.12,32.50,29.84,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
80.13,32.53,29.80,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
81.13,32.56,29.72,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
82.13,32.59,29.69,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
83.13,32.63,29.65,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
84.13,32.69,29.61,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
85.13,32.72,29.58,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
86.14,32.75,29.53,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
87.14,32.79,29.51,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
88.14,32.83,29.43,36.00,20.00,AUTO,1,100,0,190.50,0.00,-12.00,178.50,NaN,NaN,NaN,NaN
89.14,32.87,29.39,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
90.14,32.91,29.35,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
91.14,32.94,29.31,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
92.14,32.99,29.29,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
93.15,33.03,29.24,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
94.15,33.06,29.16,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
95.15,33.11,29.13,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
96.15,33.16,29.10,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
97.15,33.20,29.06,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
98.15,33.25,29.02,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
99.16,33.29,29.00,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
100.15,33.30,28.91,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
101.16,33.34,28.91,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
102.16,33.37,28.87,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
103.16,33.42,28.79,36.00,20.00,AUTO,1,100,0,159.50,0.00,-12.59,146.91,NaN,NaN,NaN,NaN
104.17,33.45,28.79,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
105.16,33.48,28.77,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
106.17,33.53,28.73,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
107.17,33.58,28.65,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
108.17,33.61,28.57,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
109.17,33.64,28.55,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
110.17,33.66,28.55,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
111.17,33.68,28.50,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
112.18,33.72,28.46,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
113.18,33.76,28.42,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
114.18,33.79,28.40,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
115.18,33.81,28.36,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
116.18,33.86,28.32,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
117.19,33.89,28.28,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
118.19,33.92,28.28,36.00,20.00,AUTO,1,100,0,130.25,0.00,-11.82,118.43,NaN,NaN,NaN,NaN
119.19,33.94,28.24,36.00,20.00,AUTO,1,95,0,104.75,0.00,-10.17,94.58,NaN,NaN,NaN,NaN
120.19,33.99,28.21,36.00,20.00,AUTO,1,95,0,104.75,0.00,-10.17,94.58,NaN,NaN,NaN,NaN
121.19,34.02,28.17,36.00,20.00,AUTO,1,95,0,104.75,0.00,-10.17,94.58,NaN,NaN,NaN,NaN
122.19,34.05,28.13,36.00,20.00,AUTO,1,95,0,104.75,0.00,-10.17,94.58,NaN,NaN,NaN,NaN
