Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,28.47,42.43,36.00,20.00,AUTO,5,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,28.49,42.43,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,28.50,42.42,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,28.50,42.42,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,28.52,42.39,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,28.53,42.39,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.01,28.54,42.32,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.01,28.53,42.32,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.01,28.55,42.29,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.01,28.57,42.29,36.00,20.00,MAN,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.03,28.60,42.29,36.00,20.00,AUTO,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.01,28.64,42.25,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.02,28.62,42.22,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.01,28.64,42.22,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.02,28.67,42.18,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.02,28.69,42.17,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.02,28.72,42.13,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.02,28.74,42.10,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.02,28.76,42.07,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.03,28.79,42.03,25.00,20.00,MAN,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.03,28.83,41.97,25.00,20.00,AUTO,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.03,28.85,41.96,25.00,20.00,AUTO,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.03,28.86,41.96,25.00,20.00,AUTO,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
