Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,29.66,39.02,36.00,20.00,AUTO,10,100,0,316.86,0.00,10.56,330.59,0.00,0.00,0.00,0.00
0.84,29.62,39.05,36.00,20.00,AUTO,18,100,0,319.00,0.00,18.18,340.37,0.00,0.00,0.00,0.00
1.84,29.61,39.09,36.00,20.00,AUTO,18,100,0,319.54,0.00,22.77,345.51,0.00,0.00,0.00,0.00
2.85,29.59,39.12,36.00,20.00,AUTO,18,100,0,320.61,0.00,24.36,348.18,0.00,0.00,0.00,0.00
3.85,29.57,39.15,36.00,20.00,AUTO,18,100,0,321.68,0.00,22.93,347.83,0.00,0.00,0.00,0.00
4.85,29.56,39.15,36.00,20.00,AUTO,18,100,0,322.22,0.00,18.46,343.90,0.00,0.00,0.00,0.00
5.85,29.54,39.19,36.00,20.00,AUTO,18,100,0,322.76,0.00,10.93,336.91,0.00,0.00,0.00,0.00
6.85,29.52,39.20,36.00,20.00,AUTO,18,100,0,323.83,0.00,0.37,327.43,0.00,0.00,0.00,0.00
7.86,29.51,39.20,36.00,20.00,AUTO,18,100,0,324.37,0.00,0.31,327.92,0.00,0.00,0.00,0.00
8.85,29.49,39.23,36.00,20.00,AUTO,18,100,0,325.44,0.00,0.32,329.01,0.00,0.00,0.00,0.00
9.86,29.48,39.27,36.00,20.00,AUTO,18,100,0,325.97,0.00,0.30,329.54,0.00,0.00,0.00,0.00
10.86,29.47,39.30,36.00,20.00,AUTO,18,100,0,326.51,0.00,0.29,330.07,0.00,0.00,0.00,0.00
11.86,29.46,39.37,36.00,20.00,AUTO,18,100,0,327.05,0.00,0.29,330.60,0.00,0.00,0.00,0.00
12.86,29.46,39.37,36.00,20.00,AUTO,18,100,0,327.05,0.00,0.25,330.57,0.00,0.00,0.00,0.00
13.86,29.46,39.40,36.00,20.00,AUTO,18,100,0,327.05,0.00,0.20,330.51,0.00,0.00,0.00,0.00
14.87,29.45,39.40,36.00,20.00,AUTO,18,100,0,327.58,0.00,0.16,331.02,0.00,0.00,0.00,0.00
15.87,29.44,39.40,36.00,20.00,AUTO,18,100,0,328.12,0.00,0.14,331.54,0.00,0.00,0.00,0.00
16.87,29.44,39.44,36.00,20.00,AUTO,18,100,0,328.12,0.00,0.12,331.52,0.00,0.00,0.00,0.00
17.87,29.43,39.44,36.00,20.00,AUTO,18,100,0,328.66,0.00,0.11,332.06,0.00,0.00,0.00,0.00
18.87,29.43,39.47,36.00,20.00,AUTO,18,100,0,328.66,0.00,0.11,332.05,0.00,0.00,0.00,0.00
19.87,29.42,39.47,36.00,20.00,AUTO,18,100,0,329.19,0.00,0.13,332.61,0.00,0.00,0.00,0.00
20.88,29.42,39.50,36.00,20.00,AUTO,18,100,0,329.19,0.00,0.12,332.60,0.00,0.00,0.00,0.00
21.88,29.42,39.50,36.00,20.00,AUTO,18,100,0,329.19,0.00,0.09,332.58,0.00,0.00,0.00,0.00
22.88,29.42,39.50,36.00,20.00,AUTO,18,100,0,329.19,0.00,0.07,332.56,0.00,0.00,0.00,0.00
23.88,29.42,39.50,36.00,20.00,AUTO,18,100,0,329.19,0.00,0.06,332.54,0.00,0.00,0.00,0.00
