Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out
0.00,35.74,30.22,36.00,20.00,AUTO,5,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
1.00,35.74,30.22,36.00,20.00,AUTO,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
2.00,35.73,30.26,36.00,20.00,AUTO,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
3.01,35.73,30.26,36.00,20.00,AUTO,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
4.01,35.72,30.31,36.00,20.00,AUTO,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
5.01,35.70,30.31,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
6.01,35.68,30.33,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
7.01,35.66,30.37,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
8.01,35.64,30.41,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
9.02,35.62,30.45,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
10.01,35.59,30.49,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
11.02,35.56,30.58,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
12.02,35.54,30.69,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
13.02,35.51,30.76,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
14.02,35.29,30.90,36.00,20.00,MAN,0,0,0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN
