Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,33.72,33.37,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,33.70,33.37,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,33.70,33.37,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,33.70,33.37,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,33.68,33.37,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,33.67,33.41,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.84,33.67,33.41,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.84,33.67,33.41,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.85,33.67,33.41,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,33.67,33.45,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,33.67,33.45,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,33.67,33.45,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,33.67,33.45,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.86,33.68,33.45,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.85,33.68,33.45,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,33.68,33.45,36.00,20.00,AUTO,0,100,NaN,228.00,0.00,0.00,228.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.86,33.70,33.45,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.86,33.70,33.45,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.86,33.71,33.45,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.86,33.71,33.45,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.86,33.71,33.45,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.87,33.73,33.45,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.87,33.73,33.41,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.87,33.74,33.41,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.87,33.76,33.41,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.87,33.76,33.41,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.88,33.78,33.37,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.88,33.78,33.37,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.88,33.79,33.39,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.88,33.81,33.39,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.88,33.82,33.34,36.00,20.00,AUTO,0,100,NaN,232.00,0.00,0.88,232.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.89,33.83,33.31,36.00,20.00,AUTO,0,100,NaN,218.50,0.00,-2.36,216.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.88,33.85,33.31,36.00,20.00,AUTO,0,100,NaN,218.50,0.00,-2.36,216.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
