Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,30.98,35.00,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,30.96,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,30.96,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,30.95,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,30.95,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,30.95,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.84,30.95,35.04,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.84,30.95,35.04,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.85,30.96,35.04,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,30.96,35.04,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,30.97,35.04,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,30.97,35.04,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,30.98,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.85,30.99,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.86,31.00,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,31.02,35.00,36.00,20.00,AUTO,0,100,NaN,200.80,0.00,0.00,250.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.86,31.04,35.00,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.86,31.05,34.97,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.86,31.07,34.99,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.86,31.09,34.95,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.87,31.10,34.92,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.86,31.12,34.92,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.87,31.15,34.89,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.87,31.18,34.89,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.87,31.21,34.82,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.87,31.23,34.79,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.87,31.25,34.77,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.88,31.28,34.73,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.88,31.30,34.70,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.88,31.36,34.66,36.00,20.00,AUTO,0,100,NaN,199.60,0.00,-0.48,249.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
