Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,31.85,34.53,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,31.84,34.53,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,31.85,34.50,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.83,31.86,34.50,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,31.87,34.46,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,31.89,34.46,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.84,31.90,34.47,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.84,31.93,34.47,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.84,31.95,34.44,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.84,31.95,34.44,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,31.96,34.40,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,31.98,34.40,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,32.00,34.36,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.85,32.02,34.31,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.85,32.04,34.28,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,32.07,34.30,36.00,20.00,AUTO,0,100,NaN,228.25,0.00,0.00,228.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.86,32.08,34.25,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.86,32.10,34.21,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.86,32.13,34.18,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.86,32.15,34.18,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.86,32.18,34.13,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.86,32.22,34.05,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.87,32.24,34.05,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.87,32.26,34.03,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.87,32.27,33.99,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.87,32.30,33.95,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.87,32.32,33.91,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.87,32.35,33.87,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.88,32.39,33.79,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.88,32.40,33.80,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.88,32.43,33.76,36.00,20.00,AUTO,0,100,NaN,216.98,0.00,-13.03,203.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.88,32.47,33.73,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.88,32.52,33.69,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.88,32.54,33.64,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.15,32.55,33.60,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.16,32.58,33.52,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.16,32.59,33.51,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.17,32.62,33.46,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.89,32.67,33.42,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.89,32.71,33.38,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.89,32.73,33.36,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.90,32.75,33.28,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.90,32.78,33.28,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.90,32.81,33.24,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.90,32.84,33.20,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.90,32.89,33.12,36.00,20.00,AUTO,0,100,NaN,197.18,0.00,-26.31,170.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.91,32.93,33.09,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.91,32.97,33.05,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.91,32.99,32.97,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.91,33.02,32.93,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.91,33.04,32.89,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.91,33.07,32.86,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.92,33.12,32.83,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.91,33.14,32.79,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.92,33.16,32.71,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.92,33.19,32.67,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.92,33.23,32.63,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.92,33.27,32.57,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.92,33.28,32.53,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.92,33.32,32.49,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.93,33.34,32.49,36.00,20.00,AUTO,0,100,NaN,172.43,0.00,-31.81,140.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.93,33.37,32.44,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.93,33.41,32.41,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.93,33.43,32.38,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.93,33.45,32.35,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.94,33.47,32.30,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.94,33.50,32.22,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66.94,33.52,32.19,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.94,33.57,32.14,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.94,33.58,32.10,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.94,33.61,32.08,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70.94,33.64,32.08,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71.95,33.66,32.04,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72.95,33.68,31.99,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73.95,33.74,31.96,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74.95,33.77,31.90,36.00,20.00,AUTO,0,100,NaN,146.85,0.00,-34.34,112.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75.95,33.81,31.85,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76.95,33.83,31.81,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77.95,33.86,31.73,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78.96,33.90,31.73,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.96,33.94,31.70,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80.96,33.95,31.67,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81.96,33.95,31.63,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82.96,33.97,31.59,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83.97,34.01,31.54,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84.96,34.03,31.51,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.97,34.07,31.47,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86.97,34.10,31.45,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87.97,34.12,31.41,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88.97,34.17,31.36,36.00,20.00,AUTO,0,93,NaN,123.48,0.00,-29.99,93.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
