Time_Seconds,Temperature,Humidity,Setpoint_Temperature,Setpoint_Humidity,Ctrl,Error_Code,T_PWM,RH_PWM,T_PID_p,T_PID_i,T_PID_d,T_PID_out,RH_PID_p,RH_PID_i,RH_PID_d,RH_PID_out,T_output,RH_output,T_min_thld,T_max_thld,RH_min_thld,RH_max_thld
0.00,32.50,33.08,36.00,20.00,AUTO,0,0,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.84,32.49,33.04,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,32.50,33.04,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,32.50,33.04,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.84,32.52,33.00,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.84,32.54,33.00,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.85,32.56,33.00,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.84,32.57,33.00,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.85,32.59,33.02,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,32.59,33.02,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.85,32.60,32.98,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.85,32.63,32.94,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.85,32.64,32.94,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.85,32.67,32.89,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.86,32.70,32.86,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.86,32.72,32.86,36.00,20.00,AUTO,0,100,NaN,192.50,0.00,0.00,242.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.86,32.74,32.83,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.86,32.76,32.80,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.86,32.79,32.76,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.86,32.82,32.76,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.87,32.86,32.67,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.87,32.88,32.64,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.87,32.89,32.60,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.87,32.91,32.60,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.87,32.93,32.53,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.87,32.96,32.53,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.87,32.99,32.49,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.88,33.02,32.45,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.88,33.04,32.45,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.88,33.05,32.41,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.88,33.08,32.37,36.00,20.00,AUTO,0,100,NaN,180.95,0.00,-5.87,225.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.88,33.12,32.35,36.00,20.00,AUTO,0,100,NaN,161.43,0.00,-12.10,199.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.88,33.15,32.31,36.00,20.00,AUTO,0,100,NaN,161.43,0.00,-12.10,199.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.89,33.18,32.27,36.00,20.00,AUTO,0,100,NaN,161.43,0.00,-12.10,199.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.88,33.21,32.22,36.00,20.00,AUTO,0,100,NaN,161.43,0.00,-12.10,199.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
