Tempo_s,Valore_Sensore
1.541,430.00
1.635,421.00
1.735,412.00
1.835,404.00
1.935,396.00
2.035,389.00
2.136,382.00
2.236,375.00
2.335,369.00
2.435,363.00
2.536,357.00
2.635,352.00
2.736,346.00
2.836,340.00
2.936,335.00
3.036,331.00
3.136,327.00
3.236,323.00
3.336,320.00
3.436,316.00
3.536,313.00
3.636,310.00
3.736,306.00
3.836,303.00
3.936,300.00
4.036,297.00
4.136,294.00
4.235,293.00
4.336,289.00
4.436,286.00
4.536,284.00
4.636,282.00
4.736,279.00
4.837,278.00
4.936,274.00
5.036,272.00
5.136,271.00
5.236,269.00
5.336,269.00
5.436,269.00
5.535,270.00
5.636,271.00
5.737,271.00
5.837,271.00
5.938,272.00
6.047,273.00
6.137,274.00
6.237,276.00
6.337,275.00
6.448,276.00
6.538,276.00
6.638,277.00
6.736,277.00
6.837,278.00
6.935,278.00
7.036,278.00
7.136,278.00
7.236,273.00
7.337,267.00
7.436,264.00
7.536,262.00
7.636,261.00
7.736,260.00
7.836,259.00
7.936,258.00
8.036,258.00
8.136,258.00
8.236,257.00
8.336,257.00
8.436,256.00
8.536,256.00
8.637,255.00
8.737,256.00
8.837,255.00
8.936,255.00
9.036,278.00
9.137,278.00
9.236,279.00
9.337,279.00
9.436,280.00
9.536,280.00
9.636,280.00
9.736,280.00
9.837,281.00
9.937,281.00
10.037,281.00
10.167,282.00
10.236,282.00
10.337,282.00
10.437,282.00
10.537,282.00
10.637,282.00
10.737,283.00
10.837,283.00
10.936,283.00
11.037,283.00
11.137,283.00
11.237,283.00
11.338,279.00
11.436,275.00
11.536,274.00
11.637,274.00
11.737,275.00
11.837,276.00
11.937,277.00
12.037,278.00
12.137,297.00
12.237,301.00
12.337,296.00
12.437,293.00
12.538,284.00
12.637,284.00
12.737,284.00
12.837,283.00
12.937,291.00
13.038,293.00
13.138,294.00
13.237,292.00
13.337,345.00
13.438,315.00
13.538,865.00
13.638,895.00
13.739,1023.00
13.838,751.00
13.938,652.00
14.037,590.00
14.139,1023.00
14.239,1023.00
14.339,1023.00
14.438,805.00
14.539,928.00
14.638,1023.00
14.739,1023.00
14.838,59.00
14.937,34.00
15.037,37.00
15.137,90.00
15.239,112.00
15.336,61.00
15.439,1023.00
15.538,995.00
15.638,914.00
15.738,867.00
15.838,849.00
15.938,883.00
16.038,902.00
16.140,1023.00
16.240,1023.00
16.339,1023.00
16.439,1023.00
16.540,1023.00
16.640,1023.00
16.740,1023.00
16.839,1023.00
16.940,1023.00
17.040,1023.00
17.140,1023.00
17.239,977.00
17.340,952.00
17.439,948.00
17.539,928.00
17.640,913.00
17.739,912.00
17.839,906.00
17.940,904.00
18.039,899.00
18.139,977.00
18.239,756.00
18.339,748.00
18.439,733.00
18.540,719.00
18.640,708.00
18.740,695.00
18.839,683.00
18.941,1023.00
19.041,1015.00
19.139,981.00
19.240,984.00
19.340,880.00
19.440,980.00
19.540,977.00
19.641,1016.00
19.740,992.00
19.842,1008.00
19.939,996.00
20.040,944.00
20.140,916.00
20.240,911.00
20.340,900.00
20.441,907.00
20.539,933.00
20.640,918.00
20.740,876.00
20.840,872.00
20.940,861.00
21.040,855.00
21.141,861.00
21.241,867.00
21.340,864.00
21.440,866.00
21.540,865.00
21.640,871.00
21.740,879.00
21.840,941.00
21.941,985.00
22.041,938.00
22.140,958.00
22.240,966.00
22.341,960.00
22.441,943.00
22.540,937.00
22.640,956.00
22.742,1023.00
22.842,1023.00
22.942,1023.00
23.041,950.00
23.141,891.00
23.241,883.00
23.341,767.00
23.440,598.00
23.540,600.00
23.641,571.00
23.741,595.00
23.841,564.00
23.942,521.00
24.041,527.00
24.141,555.00
24.241,526.00
24.342,725.00
24.442,718.00
24.541,705.00
24.641,691.00
24.741,677.00
24.841,665.00
24.941,651.00
25.042,637.00
25.142,624.00
25.241,602.00
25.341,591.00
25.442,579.00
25.542,567.00
25.641,555.00
25.741,542.00
25.842,523.00
25.942,513.00
26.042,504.00
26.142,494.00
26.242,485.00
26.342,478.00
26.442,468.00
26.541,458.00
26.641,448.00
26.742,441.00
26.842,425.00
26.942,415.00
27.041,406.00
27.142,397.00
27.242,389.00
27.341,381.00
27.441,374.00
27.543,367.00
27.643,360.00
